    Time      Ur        Uinf      Ct_adm    a        Yaw(deg)  Thrust     Power  
    0.000     6.767     6.767     0.507     0.149     0.000  180752.2  1223064.3
    0.500     6.793     7.982     0.507     0.149     0.000  182180.3  1237547.3
    1.000     6.817     8.011     0.515     0.152     0.000  187437.0  1277848.4
    1.500     6.837     8.059     0.515     0.152     0.000  188531.4  1289041.5
    2.000     6.855     8.080     0.522     0.154     0.000  193475.4  1326230.1
    2.500     6.868     8.121     0.522     0.154     0.000  194211.6  1333807.9
    3.000     6.879     8.135     0.529     0.157     0.000  198863.8  1368045.8
    3.500     6.887     8.170     0.529     0.157     0.000  199324.3  1372822.9
    4.000     6.895     8.179     0.537     0.160     0.000  203781.8  1405090.7
    4.500     6.900     8.211     0.537     0.160     0.000  204082.0  1408248.0
    5.000     6.906     8.218     0.537     0.160     0.000  204630.3  1413220.5
    5.500     6.912     8.227     0.537     0.160     0.000  204979.3  1416914.0
    6.000     6.919     8.235     0.536     0.159     0.000  204623.1  1415835.5
    6.500     6.927     8.239     0.536     0.159     0.000  205038.2  1420236.1
    7.000     6.934     8.248     0.535     0.159     0.000  205185.7  1422760.7
    7.500     6.941     8.255     0.535     0.159     0.000  205572.0  1426866.6
    8.000     6.947     8.262     0.535     0.159     0.000  205667.1  1428761.1
    8.500     6.952     8.266     0.535     0.159     0.000  205938.6  1431648.8
    9.000     6.955     8.270     0.535     0.159     0.000  205982.2  1432638.4
    9.500     6.957     8.271     0.535     0.159     0.000  206083.8  1433709.0
   10.000     6.957     8.271     0.535     0.159     0.000  206164.6  1434290.9
   10.500     6.956     8.270     0.535     0.159     0.000  206088.7  1433452.8
   11.000     6.953     8.267     0.535     0.159     0.000  206328.8  1434533.5
   11.500     6.948     8.264     0.535     0.159     0.000  206108.2  1432138.8
   12.000     6.944     8.258     0.537     0.160     0.000  206583.0  1434419.0
   12.500     6.938     8.256     0.537     0.160     0.000  206273.1  1431068.7
   13.000     6.932     8.249     0.539     0.160     0.000  206965.0  1434650.3
   13.500     6.926     8.248     0.539     0.160     0.000  206624.9  1430992.8
   14.000     6.920     8.241     0.541     0.161     0.000  207425.7  1435336.2
   14.500     6.914     8.241     0.541     0.161     0.000  207107.1  1431936.2
   15.000     6.909     8.236     0.542     0.162     0.000  207854.4  1436089.2
   15.500     6.905     8.237     0.542     0.162     0.000  207597.8  1433384.5
   16.000     6.901     8.233     0.544     0.162     0.000  208124.7  1436318.1
   16.500     6.899     8.234     0.544     0.162     0.000  207961.5  1434633.9
   17.000     6.897     8.232     0.544     0.162     0.000  208135.5  1435519.0
   17.500     6.897     8.234     0.544     0.162     0.000  208089.9  1435092.5
   18.000     6.897     8.234     0.544     0.162     0.000  207837.8  1433472.2
   18.500     6.899     8.235     0.544     0.162     0.000  207925.7  1434446.2
   19.000     6.902     8.238     0.542     0.162     0.000  207240.0  1430275.7
   19.500     6.906     8.237     0.542     0.162     0.000  207464.6  1432659.8
   20.000     6.910     8.243     0.540     0.161     0.000  206385.8  1426173.8
   20.500     6.916     8.241     0.540     0.161     0.000  206734.4  1429819.9
   21.000     6.922     8.249     0.537     0.160     0.000  205325.1  1421362.2
   21.500     6.930     8.246     0.537     0.160     0.000  205771.8  1425997.5
   22.000     6.937     8.255     0.533     0.158     0.000  204104.8  1415962.5
   22.500     6.946     8.252     0.533     0.158     0.000  204619.5  1421280.6
   23.000     6.954     8.262     0.529     0.157     0.000  202779.7  1410166.9
   23.500     6.963     8.258     0.529     0.157     0.000  203338.7  1415938.6
   24.000     6.972     8.268     0.524     0.155     0.000  201426.3  1404400.3
   24.500     6.982     8.264     0.524     0.155     0.000  202020.0  1410543.5
   25.000     6.992     8.276     0.520     0.154     0.000  200144.3  1399354.5
   25.500     7.002     8.273     0.520     0.154     0.000  200776.3  1405925.4
   26.000     7.013     8.285     0.516     0.152     0.000  199037.9  1395834.6
   26.500     7.025     8.284     0.516     0.152     0.000  199716.5  1402934.7
   27.000     7.036     8.298     0.512     0.151     0.000  198185.8  1394472.2
   27.500     7.049     8.299     0.512     0.151     0.000  198911.0  1402108.3
   28.000     7.061     8.314     0.508     0.149     0.000  197617.4  1395460.7
   28.500     7.075     8.317     0.508     0.149     0.000  198370.2  1403433.6
   29.000     7.088     8.332     0.505     0.148     0.000  197310.7  1398481.3
   29.500     7.101     8.336     0.505     0.148     0.000  198052.2  1406367.8
   30.000     7.113     8.351     0.502     0.147     0.000  197209.4  1402824.1
   30.500     7.126     8.356     0.502     0.147     0.000  197889.2  1410073.3
   31.000     7.136     8.368     0.500     0.146     0.000  197246.4  1407641.3
   31.500     7.147     8.373     0.500     0.146     0.000  197817.8  1413739.3
   32.000     7.155     8.383     0.498     0.146     0.000  197361.4  1412189.0
   32.500     7.163     8.386     0.498     0.146     0.000  197795.3  1416812.8
   33.000     7.169     8.393     0.497     0.145     0.000  197508.3  1415971.1
   33.500     7.174     8.395     0.497     0.145     0.000  197799.0  1419061.1
   34.000     7.178     8.399     0.496     0.145     0.000  197647.6  1418718.8
   34.500     7.181     8.401     0.496     0.145     0.000  197811.4  1420455.5
   35.000     7.183     8.403     0.496     0.145     0.000  197741.2  1420317.6
   35.500     7.184     8.403     0.496     0.145     0.000  197808.4  1421029.9
