    Time      Ur        Uinf      Ct_adm    a        Yaw(deg)  Thrust     Power  
    0.000     4.773     4.773     0.507     0.149     0.000   88070.9   420334.5
    0.500     4.795     5.634     0.507     0.149     0.000   88886.2   426237.2
    1.000     4.819     5.663     0.515     0.152     0.000   91687.1   441880.8
    1.500     4.844     5.709     0.515     0.152     0.000   92592.1   448474.0
    2.000     4.869     5.739     0.522     0.154     0.000   95510.9   465020.8
    2.500     4.894     5.787     0.522     0.154     0.000   96486.4   472177.2
    3.000     4.920     5.817     0.529     0.157     0.000   99513.1   489570.7
    3.500     4.945     5.866     0.529     0.157     0.000  100550.7   497243.2
    4.000     4.972     5.898     0.537     0.160     0.000  103678.5   515450.0
    4.500     4.997     5.947     0.537     0.160     0.000  104765.4   523554.2
    5.000     5.024     5.978     0.543     0.162     0.000  107694.9   541029.1
    5.500     5.049     6.025     0.543     0.162     0.000  108806.1   549371.7
    6.000     5.074     6.055     0.541     0.161     0.000  109464.2   555468.6
    6.500     5.100     6.081     0.541     0.161     0.000  110589.2   563967.6
    7.000     5.124     6.110     0.541     0.161     0.000  111492.4   571289.1
    7.500     5.147     6.136     0.541     0.161     0.000  112553.1   579335.7
    8.000     5.169     6.162     0.540     0.161     0.000  113343.6   585843.5
    8.500     5.188     6.183     0.540     0.161     0.000  114268.8   592874.6
    9.000     5.206     6.204     0.539     0.161     0.000  114928.7   598310.1
    9.500     5.221     6.221     0.539     0.161     0.000  115673.5   603969.1
   10.000     5.235     6.237     0.539     0.161     0.000  116261.5   608583.6
   10.500     5.246     6.250     0.539     0.161     0.000  116827.7   612890.2
   11.000     5.256     6.262     0.540     0.161     0.000  117452.7   617353.4
   11.500     5.265     6.274     0.540     0.161     0.000  117892.4   620740.6
   12.000     5.274     6.284     0.541     0.161     0.000  118667.6   625874.9
   12.500     5.283     6.298     0.541     0.161     0.000  119067.6   629056.7
   13.000     5.293     6.310     0.543     0.162     0.000  120066.4   635529.5
   13.500     5.304     6.328     0.543     0.162     0.000  120520.6   639265.6
   14.000     5.317     6.344     0.545     0.163     0.000  121750.0   647359.6
   14.500     5.332     6.367     0.545     0.163     0.000  122334.0   652249.9
   15.000     5.349     6.387     0.547     0.163     0.000  123731.6   661793.2
   15.500     5.367     6.416     0.547     0.163     0.000  124488.8   668181.2
   16.000     5.389     6.441     0.549     0.164     0.000  125944.2   678651.7
   16.500     5.411     6.474     0.549     0.164     0.000  126886.3   686636.6
   17.000     5.436     6.503     0.550     0.164     0.000  128276.0   697361.9
   17.500     5.463     6.538     0.550     0.164     0.000  129390.7   706863.8
   18.000     5.491     6.572     0.550     0.164     0.000  130612.5   717229.4
   18.500     5.521     6.608     0.550     0.164     0.000  131874.2   728070.3
   19.000     5.552     6.645     0.549     0.164     0.000  132869.1   737666.4
   19.500     5.584     6.680     0.549     0.164     0.000  134246.3   749623.9
   20.000     5.617     6.720     0.547     0.163     0.000  134997.0   758254.7
   20.500     5.651     6.755     0.547     0.163     0.000  136451.4   771047.6
   21.000     5.685     6.796     0.544     0.163     0.000  136965.3   778622.2
   21.500     5.719     6.829     0.544     0.163     0.000  138447.4   791849.8
