    Time      Ur        Uinf      Ct_adm    a        Yaw(deg)  Thrust     Power  
    0.000     5.265     5.265     0.507     0.149     0.000  107084.8   563818.7
    0.500     5.302     6.230     0.507     0.149     0.000  108485.6   575159.8
    1.000     5.336     6.270     0.515     0.152     0.000  112151.9   598439.2
    1.500     5.366     6.325     0.515     0.152     0.000  113324.9   608100.6
    2.000     5.393     6.357     0.522     0.154     0.000  116786.1   629853.9
    2.500     5.416     6.404     0.522     0.154     0.000  117683.9   637375.7
    3.000     5.436     6.428     0.529     0.157     0.000  120901.4   657227.4
    3.500     5.452     6.467     0.529     0.157     0.000  121517.3   662500.2
    4.000     5.465     6.483     0.537     0.160     0.000  124488.1   680382.7
    4.500     5.475     6.515     0.537     0.160     0.000  124842.8   683538.9
    5.000     5.483     6.525     0.544     0.162     0.000  127576.2   699516.2
    5.500     5.488     6.551     0.544     0.162     0.000  127698.8   700767.2
    6.000     5.491     6.554     0.544     0.162     0.000  127643.8   700851.4
    6.500     5.492     6.555     0.544     0.162     0.000  127634.4   701001.0
    7.000     5.492     6.555     0.543     0.162     0.000  127483.3   700165.1
    7.500     5.490     6.553     0.543     0.162     0.000  127332.5   699106.6
    8.000     5.487     6.548     0.543     0.162     0.000  127040.0   697006.9
    8.500     5.480     6.540     0.543     0.162     0.000  126714.3   694431.3
    9.000     5.471     6.529     0.543     0.162     0.000  126257.8   690802.6
    9.500     5.459     6.515     0.543     0.162     0.000  125712.1   686319.5
   10.000     5.444     6.497     0.543     0.162     0.000  125107.7   681121.0
   10.500     5.426     6.475     0.543     0.162     0.000  124304.4   674427.6
   11.000     5.403     6.449     0.544     0.162     0.000  123575.2   667732.9
   11.500     5.378     6.420     0.544     0.162     0.000  122502.8   658784.1
   12.000     5.349     6.385     0.545     0.163     0.000  121659.9   650724.0
   12.500     5.317     6.350     0.545     0.163     0.000  120344.7   639818.7
   13.000     5.282     6.308     0.546     0.163     0.000  119382.7   630572.0
   13.500     5.245     6.268     0.546     0.163     0.000  117890.9   618351.0
   14.000     5.207     6.223     0.548     0.164     0.000  116802.8   608198.6
   14.500     5.168     6.180     0.548     0.164     0.000  115231.3   595533.4
   15.000     5.129     6.134     0.549     0.164     0.000  114023.9   584880.4
   15.500     5.091     6.091     0.549     0.164     0.000  112482.8   572698.1
   16.000     5.055     6.048     0.549     0.164     0.000  111185.8   562044.0
   16.500     5.021     6.008     0.549     0.164     0.000  109777.9   551153.7
   17.000     4.989     5.970     0.549     0.164     0.000  108438.7   540992.9
   17.500     4.960     5.936     0.549     0.164     0.000  107241.8   531950.6
   18.000     4.935     5.906     0.548     0.164     0.000  105912.7   522673.1
   18.500     4.913     5.877     0.548     0.164     0.000  104974.0   515756.2
   19.000     4.895     5.855     0.547     0.163     0.000  103703.0   507613.3
   19.500     4.880     5.834     0.547     0.163     0.000  103042.8   502878.9
   20.000     4.869     5.820     0.545     0.163     0.000  101865.4   495984.8
   20.500     4.861     5.805     0.545     0.163     0.000  101485.8   493362.8
   21.000     4.857     5.800     0.542     0.161     0.000  100425.0   487749.0
   21.500     4.856     5.791     0.542     0.161     0.000  100321.5   487144.4
   22.000     4.858     5.793     0.538     0.160     0.000   99397.4   482843.7
   22.500     4.863     5.791     0.538     0.160     0.000   99563.9   484184.8
   23.000     4.871     5.800     0.534     0.159     0.000   98799.8   481267.5
   23.500     4.883     5.804     0.534     0.159     0.000   99224.8   484470.4
   24.000     4.896     5.821     0.530     0.157     0.000   98641.0   482988.3
   24.500     4.913     5.830     0.530     0.157     0.000   99298.5   487880.4
   25.000     4.932     5.852     0.526     0.156     0.000   98899.4   487773.0
   25.500     4.953     5.867     0.526     0.156     0.000   99742.5   494028.4
   26.000     4.975     5.893     0.522     0.154     0.000   99504.7   495047.3
   26.500     4.999     5.910     0.522     0.154     0.000  100465.1   502175.6
   27.000     5.022     5.938     0.518     0.153     0.000  100335.7   503881.3
   27.500     5.046     5.956     0.518     0.153     0.000  101333.1   511300.5
   28.000     5.069     5.983     0.514     0.151     0.000  101246.7   513188.4
   28.500     5.091     6.000     0.514     0.151     0.000  102204.1   520341.3
   29.000     5.112     6.025     0.511     0.150     0.000  102115.1   522041.8
   29.500     5.132     6.040     0.511     0.150     0.000  102972.9   528506.6
   30.000     5.151     6.062     0.508     0.149     0.000  102875.1   529913.7
   30.500     5.169     6.075     0.508     0.149     0.000  103601.0   535470.4
   31.000     5.185     6.093     0.505     0.148     0.000  103528.1   536751.4
   31.500     5.200     6.105     0.505     0.148     0.000  104119.2   541392.2
   32.000     5.214     6.121     0.503     0.148     0.000  104125.2   542881.0
   32.500     5.227     6.133     0.503     0.148     0.000  104602.3   546777.9
   33.000     5.240     6.148     0.502     0.147     0.000  104735.3   548817.4
   33.500     5.253     6.160     0.502     0.147     0.000  105129.2   552207.1
   34.000     5.265     6.174     0.502     0.147     0.000  105408.6   554972.1
   34.500     5.277     6.188     0.502     0.147     0.000  105744.8   558025.0
   35.000     5.289     6.202     0.502     0.147     0.000  106145.4   561400.3
   35.500     5.300     6.216     0.502     0.147     0.000  106436.5   564165.5
   36.000     5.312     6.229     0.503     0.148     0.000  106895.2   567783.4
   36.500     5.322     6.243     0.503     0.148     0.000  107140.2   570201.1
   37.000     5.332     6.254     0.504     0.148     0.000  107578.4   573574.6
   37.500     5.340     6.266     0.504     0.148     0.000  107765.1   575494.5
   38.000     5.348     6.275     0.504     0.148     0.000  108111.1   578143.4
   38.500     5.354     6.283     0.504     0.148     0.000  108220.0   579360.3
   39.000     5.358     6.288     0.505     0.148     0.000  108416.4   580870.8
   39.500     5.360     6.292     0.505     0.148     0.000  108428.6   581186.7
   40.000     5.360     6.293     0.505     0.148     0.000  108433.0   581248.3
   40.500     5.359     6.291     0.505     0.148     0.000  108337.9   580553.9
   41.000     5.355     6.287     0.505     0.148     0.000  108123.6   579003.6
   41.500     5.349     6.280     0.505     0.148     0.000  107925.1   577336.9
   42.000     5.342     6.271     0.504     0.148     0.000  107487.5   574205.5
   42.500     5.333     6.259     0.504     0.148     0.000  107205.6   571760.1
   43.000     5.323     6.247     0.503     0.148     0.000  106565.8   567276.7
   43.500     5.312     6.232     0.503     0.148     0.000  106233.2   564357.0
   44.000     5.301     6.218     0.502     0.147     0.000  105441.4   558937.8
   44.500     5.289     6.201     0.502     0.147     0.000  105100.8   555921.3
   45.000     5.278     6.187     0.500     0.146     0.000  104237.1   550154.5
   45.500     5.267     6.170     0.500     0.146     0.000  103937.6   547461.3
   46.000     5.257     6.159     0.498     0.146     0.000  103103.6   542048.7
   46.500     5.249     6.144     0.498     0.146     0.000  102895.7   540107.5
   47.000     5.242     6.136     0.496     0.145     0.000  102200.8   535786.6
   47.500     5.238     6.127     0.496     0.145     0.000  102131.0   534997.6
   48.000     5.237     6.125     0.494     0.144     0.000  101673.8   532425.2
   48.500     5.238     6.122     0.494     0.144     0.000  101775.8   533085.7
   49.000     5.242     6.127     0.493     0.144     0.000  101625.1   532708.7
   49.500     5.249     6.132     0.493     0.144     0.000  101911.3   534938.9
   50.000     5.259     6.144     0.493     0.144     0.000  102089.8   536890.4
   50.500     5.272     6.157     0.493     0.144     0.000  102548.2   540600.8
   51.000     5.287     6.175     0.492     0.144     0.000  103024.7   544656.9
   51.500     5.304     6.194     0.492     0.144     0.000  103621.2   549573.1
   52.000     5.322     6.216     0.492     0.144     0.000  104309.8   555167.2
   52.500     5.342     6.239     0.492     0.144     0.000  104995.3   560893.8
   53.000     5.363     6.263     0.493     0.144     0.000  105768.0   567199.8
   53.500     5.384     6.288     0.493     0.144     0.000  106487.3   573289.2
   54.000     5.405     6.313     0.493     0.144     0.000  107202.8   579394.6
   54.500     5.425     6.337     0.493     0.144     0.000  107903.9   585424.6
   55.000     5.446     6.361     0.492     0.144     0.000  108452.3   590598.1
   55.500     5.465     6.383     0.492     0.144     0.000  109098.1   596264.7
   56.000     5.484     6.405     0.491     0.143     0.000  109440.5   600211.1
   56.500     5.503     6.424     0.491     0.143     0.000  110018.8   605413.2
   57.000     5.521     6.445     0.490     0.143     0.000  110197.0   608358.3
   57.500     5.538     6.463     0.490     0.143     0.000  110721.6   613210.3
   58.000     5.556     6.483     0.489     0.143     0.000  110833.3   615756.3
   58.500     5.573     6.500     0.489     0.143     0.000  111333.3   620494.3
   59.000     5.591     6.521     0.488     0.142     0.000  111482.8   623290.3
   59.500     5.609     6.539     0.488     0.142     0.000  111983.2   628094.0
   60.000     5.627     6.559     0.487     0.142     0.000  112233.0   631496.8
   60.500     5.644     6.578     0.487     0.142     0.000  112737.1   636333.8
   61.000     5.662     6.598     0.487     0.142     0.000  113081.4   640212.8
   61.500     5.678     6.616     0.487     0.142     0.000  113564.1   644787.3
   62.000     5.692     6.633     0.486     0.142     0.000  113935.4   648571.8
   62.500     5.705     6.647     0.486     0.142     0.000  114348.0   652384.4
   63.000     5.716     6.659     0.486     0.142     0.000  114649.8   655289.3
   63.500     5.723     6.667     0.486     0.142     0.000  114930.0   657743.2
   64.000     5.727     6.672     0.486     0.142     0.000  115076.4   659046.5
   64.500     5.727     6.672     0.486     0.142     0.000  115160.7   659568.6
   65.000     5.724     6.668     0.486     0.142     0.000  115103.3   658817.3
   65.500     5.716     6.658     0.486     0.142     0.000  114941.9   656994.5
   66.000     5.704     6.644     0.486     0.142     0.000  114675.0   654091.0
   66.500     5.688     6.626     0.486     0.142     0.000  114245.9   649803.8
   67.000     5.668     6.603     0.486     0.142     0.000  113796.5   644984.0
   67.500     5.645     6.576     0.486     0.142     0.000  113115.2   638481.3
   68.000     5.618     6.546     0.487     0.142     0.000  112522.9   632192.9
   68.500     5.590     6.514     0.487     0.142     0.000  111639.8   624043.6
   69.000     5.560     6.479     0.488     0.142     0.000  110940.9   616797.6
   69.500     5.528     6.445     0.488     0.142     0.000  109929.3   607741.7
   70.000     5.497     6.408     0.489     0.142     0.000  109150.0   599993.3
   70.500     5.465     6.374     0.489     0.142     0.000  108088.5   590753.2
   71.000     5.435     6.338     0.489     0.143     0.000  107248.4   582855.5
   71.500     5.405     6.305     0.489     0.143     0.000  106208.1   574020.8
   72.000     5.376     6.271     0.490     0.143     0.000  105332.3   566275.2
   72.500     5.349     6.241     0.490     0.143     0.000  104372.0   558285.0
   73.000     5.324     6.211     0.490     0.143     0.000  103502.9   551022.9
   73.500     5.301     6.184     0.490     0.143     0.000  102671.5   544214.6
   74.000     5.280     6.160     0.490     0.143     0.000  101876.8   537875.2
   74.500     5.261     6.138     0.490     0.143     0.000  101217.3   532542.0
   75.000     5.246     6.120     0.490     0.143     0.000  100586.1   527666.6
   75.500     5.234     6.105     0.490     0.143     0.000  100137.0   524078.9
   76.000     5.225     6.095     0.489     0.143     0.000   99767.1   521251.1
   76.500     5.219     6.088     0.489     0.143     0.000   99558.2   519626.0
   77.000     5.218     6.086     0.490     0.143     0.000   99534.6   519334.1
   77.500     5.220     6.089     0.490     0.143     0.000   99572.9   519722.5
   78.000     5.225     6.095     0.490     0.143     0.000   99943.4   522191.1
   78.500     5.233     6.107     0.490     0.143     0.000  100197.3   524348.9
   79.000     5.244     6.120     0.492     0.144     0.000  100957.1   529423.4
   79.500     5.257     6.138     0.492     0.144     0.000  101353.2   532769.2
   80.000     5.270     6.154     0.494     0.144     0.000  102444.6   539912.7
   80.500     5.284     6.175     0.494     0.144     0.000  102875.2   543585.7
   81.000     5.297     6.191     0.497     0.145     0.000  104201.3   551974.7
   81.500     5.309     6.212     0.497     0.145     0.000  104542.5   554974.6
   82.000     5.318     6.223     0.501     0.147     0.000  105990.0   563673.6
   82.500     5.325     6.241     0.501     0.147     0.000  106130.4   565094.7
   83.000     5.328     6.246     0.506     0.149     0.000  107602.1   573333.7
   83.500     5.328     6.258     0.506     0.149     0.000  107481.6   572691.6
   84.000     5.326     6.255     0.511     0.151     0.000  108919.9   580085.2
   84.500     5.320     6.262     0.511     0.151     0.000  108553.2   577489.7
   85.000     5.312     6.254     0.517     0.153     0.000  109936.4   584011.4
