    Time      Ur        Uinf      Ct_adm    a        Yaw(deg)  Thrust     Power  
    0.000     5.259     5.259     0.507     0.149     0.000  107325.9   564456.2
    0.500     5.298     6.225     0.507     0.149     0.000  108920.0   577024.0
    1.000     5.335     6.269     0.515     0.152     0.000  112853.2   602065.8
    1.500     5.369     6.329     0.515     0.152     0.000  114335.5   613863.3
    2.000     5.401     6.367     0.522     0.154     0.000  118183.0   638321.3
    2.500     5.430     6.421     0.522     0.154     0.000  119489.7   648790.7
    3.000     5.456     6.452     0.529     0.157     0.000  123205.3   672256.8
    3.500     5.480     6.500     0.529     0.157     0.000  124322.0   681255.4
    4.000     5.502     6.526     0.537     0.160     0.000  127901.2   703684.2
    4.500     5.521     6.570     0.537     0.160     0.000  128845.6   711355.8
    5.000     5.539     6.592     0.541     0.161     0.000  131281.4   727225.4
    5.500     5.556     6.624     0.541     0.161     0.000  132104.9   734012.1
    6.000     5.573     6.644     0.539     0.161     0.000  132280.5   737163.7
    6.500     5.589     6.659     0.539     0.161     0.000  133052.6   743662.5
    7.000     5.605     6.678     0.539     0.160     0.000  133577.2   748745.8
    7.500     5.621     6.695     0.539     0.160     0.000  134278.9   754792.8
    8.000     5.636     6.713     0.538     0.160     0.000  134788.2   759691.5
    8.500     5.651     6.729     0.538     0.160     0.000  135398.4   765081.4
    9.000     5.664     6.745     0.538     0.160     0.000  135922.5   769870.8
    9.500     5.676     6.760     0.538     0.160     0.000  136421.7   774387.9
   10.000     5.688     6.773     0.539     0.160     0.000  137018.9   779312.5
   10.500     5.698     6.786     0.539     0.160     0.000  137398.7   782829.0
   11.000     5.706     6.796     0.540     0.161     0.000  138123.9   788156.9
   11.500     5.713     6.808     0.540     0.161     0.000  138389.5   790672.6
   12.000     5.720     6.815     0.541     0.161     0.000  139256.5   796488.2
   12.500     5.724     6.826     0.541     0.161     0.000  139424.5   798123.3
   13.000     5.728     6.831     0.544     0.162     0.000  140388.5   804214.8
   13.500     5.731     6.841     0.544     0.162     0.000  140481.9   805157.8
   14.000     5.734     6.844     0.546     0.163     0.000  141445.1   811023.9
   14.500     5.735     6.853     0.546     0.163     0.000  141489.2   811488.5
   15.000     5.737     6.854     0.548     0.164     0.000  142326.8   816478.6
   15.500     5.737     6.861     0.548     0.164     0.000  142350.3   816711.5
   16.000     5.738     6.862     0.549     0.164     0.000  142944.4   820229.6
   16.500     5.739     6.867     0.549     0.164     0.000  142978.1   820505.7
   17.000     5.740     6.868     0.550     0.165     0.000  143242.9   822153.6
   17.500     5.741     6.871     0.550     0.165     0.000  143312.6   822717.0
   18.000     5.742     6.873     0.549     0.164     0.000  143207.1   822333.6
   18.500     5.744     6.874     0.549     0.164     0.000  143321.4   823285.0
   19.000     5.747     6.877     0.548     0.164     0.000  142844.3   820871.8
   19.500     5.749     6.875     0.548     0.164     0.000  142984.8   822069.1
   20.000     5.752     6.878     0.545     0.163     0.000  142153.2   817634.2
   20.500     5.754     6.874     0.545     0.163     0.000  142273.4   818673.9
   21.000     5.756     6.875     0.542     0.162     0.000  141102.0   812128.0
   21.500     5.756     6.867     0.542     0.162     0.000  141139.0   812448.0
   22.000     5.755     6.865     0.538     0.160     0.000  139637.9   803650.3
   22.500     5.753     6.851     0.538     0.160     0.000  139529.0   802695.7
   23.000     5.748     6.845     0.534     0.159     0.000  137717.7   791601.9
   23.500     5.741     6.825     0.534     0.159     0.000  137414.9   788959.9
   24.000     5.732     6.814     0.530     0.157     0.000  135333.9   775723.4
   24.500     5.720     6.787     0.530     0.157     0.000  134809.9   771174.2
   25.000     5.706     6.770     0.525     0.156     0.000  132522.1   756151.0
   25.500     5.689     6.737     0.525     0.156     0.000  131775.1   749702.5
   26.000     5.670     6.714     0.521     0.154     0.000  129356.8   733410.4
   26.500     5.648     6.677     0.521     0.154     0.000  128414.4   725332.0
   27.000     5.625     6.648     0.517     0.153     0.000  125946.9   708395.9
   27.500     5.600     6.608     0.517     0.153     0.000  124861.5   699172.7
   28.000     5.573     6.576     0.513     0.151     0.000  122429.7   682284.7
   28.500     5.546     6.534     0.513     0.151     0.000  121271.1   672538.7
   29.000     5.518     6.501     0.510     0.150     0.000  118966.7   656435.1
   29.500     5.490     6.459     0.510     0.150     0.000  117814.8   646847.2
   30.000     5.463     6.428     0.507     0.149     0.000  115736.2   632294.6
   30.500     5.438     6.390     0.507     0.149     0.000  114678.8   623590.7
   31.000     5.414     6.362     0.505     0.148     0.000  112931.4   611386.9
   31.500     5.393     6.331     0.505     0.148     0.000  112057.9   604290.0
   32.000     5.374     6.309     0.503     0.148     0.000  110741.5   595172.6
   32.500     5.360     6.288     0.503     0.148     0.000  110131.7   590318.2
   33.000     5.350     6.276     0.502     0.147     0.000  109323.8   584865.6
   33.500     5.344     6.266     0.502     0.147     0.000  109040.3   582748.0
   34.000     5.344     6.265     0.501     0.147     0.000  108778.3   581270.7
   34.500     5.348     6.269     0.501     0.147     0.000  108854.1   582146.6
   35.000     5.357     6.280     0.501     0.147     0.000  109118.0   584561.5
   35.500     5.371     6.296     0.501     0.147     0.000  109546.0   588365.2
   36.000     5.389     6.317     0.502     0.147     0.000  110256.5   594160.4
   36.500     5.410     6.343     0.502     0.147     0.000  110987.9   600478.3
   37.000     5.435     6.372     0.502     0.147     0.000  112013.9   608744.4
   37.500     5.461     6.404     0.502     0.147     0.000  112965.1   616866.8
   38.000     5.488     6.436     0.503     0.147     0.000  114145.4   626437.2
   38.500     5.516     6.470     0.503     0.147     0.000  115218.0   635521.5
   39.000     5.543     6.502     0.503     0.148     0.000  116398.7   645248.9
   39.500     5.570     6.534     0.503     0.148     0.000  117505.6   654547.8
   40.000     5.596     6.565     0.503     0.148     0.000  118575.2   663584.9
   40.500     5.621     6.594     0.503     0.148     0.000  119662.8   672649.8
   41.000     5.645     6.622     0.503     0.147     0.000  120569.0   680614.3
   41.500     5.668     6.647     0.503     0.147     0.000  121626.8   689383.7
   42.000     5.690     6.674     0.502     0.147     0.000  122373.3   696347.8
   42.500     5.713     6.697     0.502     0.147     0.000  123423.1   705059.2
   43.000     5.735     6.723     0.500     0.147     0.000  124048.2   711369.8
   43.500     5.757     6.746     0.500     0.147     0.000  125120.7   720342.5
   44.000     5.780     6.773     0.499     0.146     0.000  125671.3   726384.1
   44.500     5.804     6.796     0.499     0.146     0.000  126778.4   735773.8
   45.000     5.827     6.824     0.497     0.145     0.000  127291.4   741785.9
   45.500     5.852     6.848     0.497     0.145     0.000  128409.0   751423.1
   46.000     5.876     6.876     0.496     0.145     0.000  128901.9   757410.9
   46.500     5.900     6.900     0.496     0.145     0.000  129968.1   766777.0
   47.000     5.922     6.926     0.494     0.144     0.000  130436.1   772504.6
   47.500     5.944     6.947     0.494     0.144     0.000  131367.0   780845.4
   48.000     5.963     6.970     0.493     0.144     0.000  131786.8   785904.1
   48.500     5.981     6.987     0.493     0.144     0.000  132506.8   792490.1
   49.000     5.995     7.004     0.492     0.144     0.000  132849.3   796476.9
   49.500     6.007     7.016     0.492     0.144     0.000  133323.5   800916.6
   50.000     6.017     7.027     0.492     0.144     0.000  133573.5   803655.4
   50.500     6.023     7.034     0.492     0.144     0.000  133825.1   806091.8
   51.000     6.028     7.040     0.492     0.144     0.000  133991.7   807746.2
   51.500     6.032     7.044     0.492     0.144     0.000  134092.1   808794.1
   52.000     6.034     7.046     0.492     0.144     0.000  134196.1   809728.6
   52.500     6.036     7.049     0.492     0.144     0.000  134235.6   810201.5
   53.000     6.037     7.051     0.492     0.144     0.000  134280.2   810695.8
   53.500     6.039     7.053     0.492     0.144     0.000  134336.1   811294.4
   54.000     6.042     7.056     0.492     0.144     0.000  134292.0   811353.3
   54.500     6.045     7.059     0.492     0.144     0.000  134406.0   812453.6
   55.000     6.048     7.063     0.491     0.143     0.000  134225.9   811840.6
   55.500     6.052     7.065     0.491     0.143     0.000  134394.0   813402.5
   56.000     6.056     7.070     0.490     0.143     0.000  134040.9   811807.8
   56.500     6.060     7.070     0.490     0.143     0.000  134219.6   813431.0
   57.000     6.064     7.074     0.488     0.142     0.000  133684.9   810620.9
   57.500     6.066     7.072     0.488     0.142     0.000  133809.9   811710.9
   58.000     6.067     7.073     0.486     0.142     0.000  133111.3   807590.9
   58.500     6.067     7.067     0.486     0.142     0.000  133122.2   807595.7
   59.000     6.064     7.064     0.484     0.141     0.000  132293.3   802230.4
   59.500     6.060     7.053     0.484     0.141     0.000  132153.8   800832.5
   60.000     6.054     7.046     0.482     0.140     0.000  131235.7   794436.6
   60.500     6.046     7.031     0.482     0.140     0.000  130940.2   791612.0
   61.000     6.036     7.020     0.481     0.140     0.000  129975.3   784505.1
   61.500     6.025     7.003     0.481     0.140     0.000  129544.1   780471.5
   62.000     6.012     6.988     0.479     0.139     0.000  128576.0   773037.8
   62.500     5.999     6.969     0.479     0.139     0.000  128045.4   768152.7
   63.000     5.985     6.953     0.478     0.139     0.000  127123.2   760832.3
   63.500     5.971     6.934     0.478     0.139     0.000  126536.1   755503.1
   64.000     5.956     6.917     0.478     0.139     0.000  125721.9   748809.0
   64.500     5.942     6.898     0.478     0.139     0.000  125121.1   743430.8
   65.000     5.928     6.882     0.478     0.139     0.000  124490.1   737930.6
   65.500     5.914     6.866     0.478     0.139     0.000  123915.4   732854.8
   66.000     5.901     6.851     0.478     0.139     0.000  123542.8   729086.9
   66.500     5.890     6.839     0.478     0.139     0.000  123031.1   724622.7
   67.000     5.879     6.827     0.479     0.139     0.000  122968.6   722967.4
   67.500     5.870     6.819     0.479     0.139     0.000  122555.2   719401.1
   68.000     5.862     6.811     0.481     0.140     0.000  122808.0   719956.2
   68.500     5.856     6.808     0.481     0.140     0.000  122524.5   717546.1
   69.000     5.852     6.803     0.483     0.140     0.000  123042.1   720075.8
   69.500     5.850     6.806     0.483     0.140     0.000  122909.0   718991.4
   70.000     5.849     6.806     0.485     0.141     0.000  123593.4   722947.9
   70.500     5.850     6.813     0.485     0.141     0.000  123608.1   723166.9
   71.000     5.853     6.816     0.487     0.142     0.000  124336.0   727778.7
   71.500     5.857     6.825     0.487     0.142     0.000  124464.5   729003.3
   72.000     5.862     6.831     0.488     0.142     0.000  125115.0   733413.2
   72.500     5.867     6.840     0.488     0.142     0.000  125294.9   735087.1
   73.000     5.872     6.846     0.489     0.143     0.000  125775.1   738526.3
   73.500     5.876     6.853     0.489     0.143     0.000  125931.5   739978.5
   74.000     5.879     6.857     0.489     0.143     0.000  126195.7   741949.2
   74.500     5.881     6.861     0.489     0.143     0.000  126262.5   742586.8
   75.000     5.882     6.861     0.490     0.143     0.000  126318.3   742968.2
   75.500     5.880     6.860     0.490     0.143     0.000  126251.3   742410.4
   76.000     5.877     6.856     0.490     0.143     0.000  126150.9   741434.1
   76.500     5.872     6.851     0.490     0.143     0.000  125929.5   739519.4
   77.000     5.866     6.843     0.490     0.143     0.000  125747.7   737617.2
   77.500     5.857     6.834     0.490     0.143     0.000  125366.4   734320.7
   78.000     5.847     6.823     0.491     0.143     0.000  125176.1   731938.0
   78.500     5.835     6.811     0.491     0.143     0.000  124635.7   727287.7
   79.000     5.822     6.795     0.492     0.144     0.000  124495.6   724785.8
   79.500     5.806     6.781     0.492     0.144     0.000  123800.1   718832.3
   80.000     5.790     6.761     0.494     0.144     0.000  123756.5   716500.5
   80.500     5.771     6.745     0.494     0.144     0.000  122914.6   709335.5
   81.000     5.751     6.722     0.497     0.145     0.000  123005.9   707426.4
   81.500     5.730     6.704     0.497     0.145     0.000  122036.5   699224.9
   82.000     5.707     6.678     0.501     0.147     0.000  122296.6   697991.9
   82.500     5.684     6.661     0.501     0.147     0.000  121230.7   689035.1
   83.000     5.660     6.633     0.505     0.148     0.000  121686.2   688715.7
   83.500     5.635     6.616     0.505     0.148     0.000  120566.6   679372.9
   84.000     5.610     6.587     0.510     0.150     0.000  121223.3   680103.8
   84.500     5.585     6.572     0.510     0.150     0.000  120098.6   670782.4
   85.000     5.561     6.543     0.516     0.152     0.000  120929.0   672515.0
   85.500     5.537     6.531     0.516     0.152     0.000  119848.2   663610.3
   86.000     5.515     6.504     0.522     0.154     0.000  120799.8   666151.8
   86.500     5.492     6.494     0.522     0.154     0.000  119806.0   657999.2
   87.000     5.472     6.470     0.528     0.156     0.000  120823.1   661121.1
   87.500     5.452     6.462     0.528     0.156     0.000  119947.0   653947.6
   88.000     5.434     6.441     0.533     0.158     0.000  120967.6   657359.8
   88.500     5.417     6.436     0.533     0.158     0.000  120225.1   651268.0
   89.000     5.402     6.418     0.538     0.160     0.000  121186.1   654640.9
   89.500     5.387     6.415     0.538     0.160     0.000  120577.1   649607.3
   90.000     5.375     6.399     0.542     0.162     0.000  121433.1   652673.3
   90.500     5.363     6.397     0.542     0.162     0.000  120943.0   648560.0
   91.000     5.352     6.384     0.549     0.164     0.000  122868.4   657547.1
   91.500     5.340     6.390     0.549     0.164     0.000  122430.1   653795.2
   92.000     5.330     6.377     0.556     0.167     0.000  124377.1   662890.8
   92.500     5.318     6.384     0.556     0.167     0.000  123962.1   659274.5
   93.000     5.308     6.371     0.563     0.169     0.000  125904.3   668274.7
   93.500     5.296     6.377     0.563     0.169     0.000  125486.7   664603.6
   94.000     5.285     6.364     0.570     0.172     0.000  127400.0   673341.2
   94.500     5.273     6.369     0.570     0.172     0.000  126956.5   669464.3
   95.000     5.262     6.355     0.575     0.174     0.000  128448.2   675850.2
   95.500     5.249     6.357     0.575     0.174     0.000  127969.3   671738.3
   96.000     5.237     6.342     0.579     0.176     0.000  128790.4   674501.9
   96.500     5.225     6.338     0.579     0.176     0.000  128273.3   670173.7
   97.000     5.212     6.323     0.582     0.177     0.000  128669.0   670644.6
   97.500     5.199     6.315     0.582     0.177     0.000  128100.0   666013.9
   98.000     5.186     6.299     0.584     0.177     0.000  128132.3   664509.8
   98.500     5.172     6.288     0.584     0.177     0.000  127500.9   659492.1
   99.000     5.159     6.271     0.585     0.178     0.000  127332.5   656847.9
   99.500     5.144     6.258     0.585     0.178     0.000  126636.9   651413.2
  100.000     5.129     6.240     0.587     0.179     0.000  126640.8   649547.5
  100.500     5.113     6.227     0.587     0.179     0.000  125881.9   643682.2
  101.000     5.098     6.208     0.588     0.179     0.000  125444.8   639462.1
  101.500     5.082     6.191     0.588     0.179     0.000  124666.7   633494.4
  102.000     5.066     6.172     0.588     0.179     0.000  123709.1   626668.4
  102.500     5.050     6.151     0.588     0.179     0.000  122973.2   621062.7
  103.000     5.036     6.134     0.588     0.179     0.000  122420.1   616483.1
  103.500     5.022     6.118     0.588     0.179     0.000  121758.1   611476.3
  104.000     5.010     6.103     0.587     0.179     0.000  120772.9   605018.5
  104.500     4.999     6.086     0.587     0.179     0.000  120253.9   601129.7
  105.000     4.990     6.075     0.587     0.179     0.000  119916.3   598366.9
  105.500     4.983     6.068     0.587     0.179     0.000  119564.1   595764.2
  106.000     4.978     6.062     0.586     0.178     0.000  118850.9   591622.6
  106.500     4.975     6.055     0.586     0.178     0.000  118713.9   590657.0
  107.000     4.975     6.054     0.583     0.177     0.000  117861.3   586396.8
  107.500     4.978     6.050     0.583     0.177     0.000  117954.2   587170.3
  108.000     4.983     6.056     0.581     0.176     0.000  117336.7   584647.9
  108.500     4.990     6.057     0.581     0.176     0.000  117638.5   586999.8
  109.000     4.999     6.068     0.577     0.175     0.000  116978.5   584747.3
  109.500     5.010     6.072     0.577     0.175     0.000  117459.7   588457.5
  110.000     5.022     6.087     0.574     0.173     0.000  116795.1   586559.9
  110.500     5.036     6.093     0.574     0.173     0.000  117416.1   591326.4
  111.000     5.051     6.111     0.569     0.172     0.000  116676.6   589306.9
  111.500     5.067     6.118     0.569     0.172     0.000  117402.3   594848.3
  112.000     5.083     6.137     0.565     0.170     0.000  116745.8   593397.0
  112.500     5.100     6.145     0.565     0.170     0.000  117546.1   599465.6
  113.000     5.117     6.165     0.560     0.168     0.000  116897.3   598121.4
  113.500     5.134     6.173     0.560     0.168     0.000  117753.2   604574.4
  114.000     5.152     6.194     0.555     0.166     0.000  117032.5   602895.8
  114.500     5.170     6.202     0.555     0.166     0.000  117925.6   609627.1
  115.000     5.187     6.223     0.550     0.165     0.000  117314.8   608533.5
  115.500     5.205     6.232     0.550     0.165     0.000  118206.5   615295.4
  116.000     5.222     6.252     0.549     0.164     0.000  118549.8   619124.0
